增加边的比例	第一次传递次数	时间	增量次数	增量时间	精确次数	精确时间	精度	100	500	1000	5000	10000
300177	14297	0.00001	18	5781	300201	11781	0.999982	100	500	1000	5000	9998	
300177	13296	0.00005	128591	13031	342361	13094	0.862802	91	273	740	3910	7721	
300177	13313	0.00010	1019	6625	301887	11453	0.997760	100	490	995	4954	9904	
300177	13781	0.00015	101942	13172	367100	13719	0.876786	56	332	806	3435	7388	
300177	13344	0.00020	89581	12328	346086	13844	0.922398	60	388	870	4128	8531	
300177	13610	0.00025	27895	11282	343608	11687	0.924515	68	346	805	4002	8379	
300177	13328	0.00030	138633	13031	311813	14485	0.838066	68	333	774	3342	7607	
300177	13328	0.00035	31956	10469	381046	13312	0.921913	60	413	885	3981	8270	
300177	13204	0.00040	74442	10468	345968	13187	0.942034	79	419	917	4569	9178	
300177	13266	0.00045	10758	10109	305092	11421	0.991298	97	477	975	4878	9748	
300177	13250	0.00050	126955	12938	308602	13016	0.864254	79	328	785	4042	8259	
300177	13375	0.00055	145003	12859	347424	14578	0.826790	58	260	707	3122	6900	
300177	12922	0.00060	5075	8578	309259	11125	0.992608	99	479	986	4907	9767	
300177	12907	0.00065	179628	12625	420106	14469	0.794361	58	270	735	3159	6618	
300177	12890	0.00070	104153	10453	329701	14016	0.909701	89	388	890	3373	7470	
300177	12875	0.00075	161700	12844	485554	14000	0.803859	64	310	646	3105	6709	
300177	12891	0.00080	163055	12203	399681	12875	0.884363	61	416	865	3626	7835	
300177	12937	0.00085	318060	13203	494550	14953	0.653272	58	196	548	2364	5633	
300177	13094	0.00090	85926	11953	427201	14500	0.836918	86	273	721	3679	7408	
300177	12890	0.00095	293082	15172	415272	12969	0.581455	56	189	341	2361	5326	
300177	12953	0.0010	84666	10281	437347	13203	0.877167	81	326	815	3434	7383	
300177	13109	0.0015	212683	14328	488223	16969	0.709898	65	225	583	2737	5776	
300177	12953	0.0020	400559	15265	602049	15719	0.582685	53	158	489	2207	4438	
300177	13063	0.0025	446998	15953	524846	15500	0.546143	47	147	279	1995	4002	
300177	13063	0.0030	244415	14625	451935	14860	0.765298	48	242	653	2515	5716	
300177	12922	0.0035	421275	17969	608107	16891	0.427403	52	145	222	1781	3475	
300177	12984	0.0040	586874	16406	812703	16359	0.287116	53	143	194	1477	2642	
300177	12891	0.0045	581023	16532	958961	18672	0.200988	55	144	206	1606	2889	
300177	12875	0.0050	393798	13515	586771	15469	0.556823	49	170	407	1860	3751	
