1000	60441	93	27326	62	59574	93	0.878810	0.91	0.82	0.844	0.861	0.8771
2000	60441	94	16937	63	59672	109	0.958043	0.93	0.952	0.934	0.9358	0.9304
3000	60441	140	28588	109	58104	109	0.911249	0.87	0.908	0.907	0.8994	0.8899
4000	60441	109	44710	94	61182	110	0.802642	0.8	0.842	0.865	0.8704	0.8854
5000	60441	125	53098	93	45695	93	0.593286	0.8	0.61	0.673	0.6308	0.6732
6000	60441	93	47603	78	47003	78	0.716691	0.76	0.748	0.75	0.7482	0.7467
7000	60441	125	52811	125	60299	125	0.627706	0.58	0.696	0.726	0.7868	0.8053
8000	60441	125	51848	109	45449	109	0.482163	0.68	0.528	0.559	0.5812	0.6403
9000	60441	125	57409	109	58169	109	0.574944	0.74	0.652	0.71	0.7584	0.7671
10000	60441	125	63122	109	60296	109	0.427339	0.54	0.658	0.672	0.7112	0.7271
11000	60441	125	54464	125	51067	124	0.486441	0.6	0.626	0.66	0.7034	0.7141
12000	60441	125	59801	124	41954	94	0.306267	0.66	0.524	0.524	0.5794	0.6173
13000	60441	94	67636	109	58121	140	0.293644	0.56	0.594	0.586	0.6786	0.7043
14000	60441	109	55334	94	41970	78	0.438095	0.58	0.624	0.58	0.6592	0.6536
15000	60441	109	64020	109	35401	93	0.015573	0.46	0.368	0.401	0.4506	0.5019
16000	60441	125	57210	124	37389	110	0.119963	0.43	0.462	0.478	0.539	0.5499
17000	60441	124	82086	140	46341	109	-0.511927	0.3	0.404	0.454	0.522	0.5712
18000	60441	125	68520	125	40990	94	0.118945	0.48	0.474	0.463	0.5186	0.5424
19000	60441	94	79348	156	57100	140	-0.275554	0.43	0.452	0.501	0.6052	0.6685
20000	60441	125	69015	125	43963	93	-0.187008	0.45	0.414	0.434	0.5246	0.573
